Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path,Duration(m)
,restaurant,28.0,4.5,46.729197,24.6154221,Skirinah,سكيرينة,POINT (46.729197 24.6154221),حي منفوحة الجديدة,Agashi restaurant,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.,58
&,store,937.0,4.1,46.7104001,24.6654403,Al Muorabba,المربع,POINT (46.7104001 24.6654403),حي المربع,Red Cherry Indian Sweets Snacks,المربع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المربع.,43
,restaurant,93.0,4.3,46.7326666,24.6046788,Al Iman Hospital,مستشفى الإيمان,POINT (46.7326666 24.6046788),حي منفوحة,Munchy's Broasted,مستشفى الإيمان,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مستشفى الإيمان.,62
تحالف القهوه,cafe,3568.0,4.3,46.6700427,24.7243049,Al Wurud 2,الورود 2,POINT (46.6700427 24.7243049),حي الجزيرة,,الورود 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الورود 2.,36
,restaurant,337.0,3.9,46.6489913,24.7704414,KAFD,المركز المالي,POINT (46.6489913 24.7704414),حي الغدير,Shake It burger,المركز المالي,اركب المترو من المحطة الحالية، وأخرج عند محطة المركز المالي.,22
,restaurant,1.0,5.0,46.6872208,24.6206319,Sultanah,سلطانة,POINT (46.6872208 24.6206319),حي الجرادية,Ruba qaali,سلطانة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة سلطانة.,70
بوفيه طلال الخير,restaurant,10.0,4.6,46.7492371,24.5971224,Transportation Center,مركز النقل العام,POINT (46.7492371 24.5971224),حي المنصورة,,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.,65
بيتزا لذه ساخنة,restaurant,40.0,4.7,46.7951327,24.7796002,Al Khaleej,الخليج,POINT (46.7951327 24.7796002),حي اشبيلية,,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.,36
,restaurant,552.0,4.0,46.7672741,24.5907616,Al Aziziah,العزيزية,POINT (46.7672741 24.5907616),حي العزيزية,Sultan Delight Burger,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
,restaurant,14.0,3.6,46.7502389,24.593231,Transportation Center,مركز النقل العام,POINT (46.7502389 24.593231),حي المنصورة,Al Kashaka Restaurant,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.,65
مطعم ريم الرياض البخاري,restaurant,460.0,3.9,46.6676477,24.7466535,King Fahd District,حي الملك فهد,POINT (46.6676477 24.7466535),حي النخيل,,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.,28
,restaurant,281.0,3.8,46.6627011,24.7586524,Al Murooj,المروج,POINT (46.6627011 24.7586524),حي النخيل,Chick N Bun,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.,27
الجرة الحجازية,restaurant,888.0,3.8,46.6315585,24.8135563,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6315585 24.8135563),حي الصحافة,,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.,28
